rank,model_family,feature_set,feature_count,model_name,model_display_name,mean_exact_accuracy,std_exact_accuracy,mean_balanced_accuracy,std_balanced_accuracy,mean_log_loss,std_log_loss,mean_top_2_accuracy,std_top_2_accuracy,mean_class_step_mae,std_class_step_mae,mean_expected_xrv_mae,std_expected_xrv_mae,mean_best_epoch,std_best_epoch,mean_epochs_trained,std_epochs_trained,mean_best_val_loss,std_best_val_loss,oof_exact_accuracy,oof_balanced_accuracy,oof_log_loss,oof_top_2_accuracy,oof_class_step_mae,oof_expected_xrv_mae
1,tree,Set E,18,xgboost,XGBoost,0.4997666699822796,0.004794844643598397,0.14440548158990318,0.0030163697513011624,1.50212650894805,0.014381218148726877,0.6655050174358101,0.0063731666691849275,1.2117913268918643,0.008991982517916683,0.14515668328735878,0.002707798477975037,,,,,,,0.49985641811046233,0.1446799806111672,1.5019233053693475,0.6655499186369292,1.2116397051785202,0.14511356712399537
2,tree,Set A,17,xgboost,XGBoost,0.5008518519581888,0.003914245986018882,0.14528862056803765,0.001705844694184701,1.502311358318237,0.014076859480164542,0.6643107557401957,0.005521069213478139,1.2125904303781485,0.015124152298594522,0.1452678323314902,0.0026520039211900322,,,,,,,0.5009093519670719,0.14553125735349115,1.502131993805327,0.6643055422609362,1.2124054752560545,0.14523475057901566
3,tree,Set C,31,xgboost,XGBoost,0.49917662078166475,0.00443336620656934,0.1441706178576224,0.00266779520140345,1.5065399290220687,0.013580920924407143,0.6668420020377209,0.007694328147443969,1.216101680619385,0.015156520439816992,0.14483420261297114,0.002533594569772018,,,,,,,0.49928209055231165,0.14443124518235764,1.5063413813753295,0.666985737532306,1.2159471618646502,0.1448034599361306
4,tree,Set B,30,xgboost,XGBoost,0.4981847598434836,0.0031962696128744277,0.14367531182614743,0.0019074398995082556,1.5074480680262574,0.012551337813595097,0.6658691531310402,0.005173811021215558,1.2150324744226773,0.017931852499166182,0.14459412652195255,0.0024201061664540433,,,,,,,0.4982291566957021,0.14388075994233243,1.5072943707531639,0.6659328036756964,1.2148942280080406,0.1445612615877861
5,tree,Set D,12,xgboost,XGBoost,0.4279333202847134,0.00731501011203339,0.12354173049527797,0.0021723230312706812,1.6620199935171769,0.019628737643753558,0.6030778780381791,0.006692182048328097,1.3451226855678076,0.021421329090880983,0.1506299094616902,0.002242777181957561,,,,,,,0.4280654733416292,0.12371430085833948,1.661821182219527,0.6031396573178903,1.3449794199291663,0.1505886431081588
