model_family,feature_set,feature_count,model_name,model_display_name,fold,best_epoch,epochs_trained,best_val_loss,exact_accuracy,balanced_accuracy,log_loss,top_2_accuracy,class_step_mae,expected_xrv_mae
tree,Set A,17,xgboost,XGBoost,1,,,,0.49859154929577465,0.14488071578569434,1.514571412066186,0.6549295774647887,1.215962441314554,0.14602571139888254
tree,Set A,17,xgboost,XGBoost,2,,,,0.4960435212660732,0.1428814646586862,1.5224884423808296,0.6646884272997032,1.2111770524233432,0.14707058070134182
tree,Set A,17,xgboost,XGBoost,3,,,,0.5002461841457411,0.14425113010761242,1.4986785365235318,0.6646971935007385,1.2328902018709995,0.14664606474309985
tree,Set A,17,xgboost,XGBoost,4,,,,0.5016424213984045,0.1474285349452115,1.4862775569381599,0.664946034725481,1.2167996245893946,0.1465911602625226
tree,Set A,17,xgboost,XGBoost,5,,,,0.5077355836849508,0.14700125734298372,1.4895408436824786,0.6722925457102672,1.186122831692452,0.1400056445516043
tree,Set B,30,xgboost,XGBoost,1,,,,0.5004694835680751,0.145940913154162,1.514076620910565,0.6600938967136151,1.2140845070422535,0.1452317897925038
tree,Set B,30,xgboost,XGBoost,2,,,,0.49752720079129575,0.14337545795618387,1.5291604965691306,0.6641938674579624,1.2037586547972305,0.14625470634160956
tree,Set B,30,xgboost,XGBoost,3,,,,0.49433776464795665,0.14069635974557235,1.4995801865255207,0.6612506154603643,1.241260462826194,0.14611545633251605
tree,Set B,30,xgboost,XGBoost,4,,,,0.4955419990614735,0.14284375760164247,1.4965651171128718,0.670577193805725,1.2266541529798216,0.1455576149049074
tree,Set B,30,xgboost,XGBoost,5,,,,0.503047351148617,0.14552007067317654,1.4978579190131982,0.673230192217534,1.1894045944678857,0.13981106523822598
tree,Set C,31,xgboost,XGBoost,1,,,,0.5028169014084507,0.14649358280083083,1.5149746468492884,0.6624413145539906,1.2098591549295774,0.1455502292704615
tree,Set C,31,xgboost,XGBoost,2,,,,0.49357072205736896,0.14119256885214335,1.5284133660885295,0.6602373887240356,1.2062314540059347,0.14618975988390684
tree,Set C,31,xgboost,XGBoost,3,,,,0.49433776464795665,0.14064144307845097,1.5030807507675568,0.6592811422944362,1.24273756770064,0.1464605331272555
tree,Set C,31,xgboost,XGBoost,4,,,,0.5007038948850305,0.146026496851134,1.4934438188137678,0.674800563115908,1.2219615204129517,0.14616825033791847
tree,Set C,31,xgboost,XGBoost,5,,,,0.5044538209095171,0.1464989977055529,1.4927870625912003,0.6774496015002344,1.19971870604782,0.13980224044531345
tree,Set D,12,xgboost,XGBoost,1,,,,0.4253521126760563,0.12494112079932976,1.6804636688966228,0.5948356807511737,1.3647887323943662,0.14997971027948856
tree,Set D,12,xgboost,XGBoost,2,,,,0.4159248269040554,0.12005866417631125,1.6903888113821195,0.5964391691394659,1.3560830860534125,0.15306673991878406
tree,Set D,12,xgboost,XGBoost,3,,,,0.4273756770064008,0.12268419994797947,1.6513748302166404,0.604135893648449,1.3471196454948302,0.15221160340406784
tree,Set D,12,xgboost,XGBoost,4,,,,0.4364148287189113,0.12352166515204241,1.6412792305463961,0.6072266541529798,1.3538244955419991,0.15124952447626347
tree,Set D,12,xgboost,XGBoost,5,,,,0.4345991561181435,0.12650300240072695,1.646593426544105,0.612751992498828,1.3037974683544304,0.1466419692298471
tree,Set E,18,xgboost,XGBoost,1,,,,0.4971830985915493,0.14306483754014934,1.5146752154103178,0.655868544600939,1.2098591549295774,0.14531040375726698
tree,Set E,18,xgboost,XGBoost,2,,,,0.49357072205736896,0.14194966034765782,1.5212049702901653,0.6617210682492581,1.2121661721068249,0.14812470310987022
tree,Set E,18,xgboost,XGBoost,3,,,,0.49729197439684886,0.14113503827873908,1.5021650183604156,0.6651895617922206,1.2269817823732152,0.14632269141974036
tree,Set E,18,xgboost,XGBoost,4,,,,0.5049272641952135,0.14893834819042603,1.4839187580912832,0.671515720319099,1.2111684655091506,0.14595186701033114
tree,Set E,18,xgboost,XGBoost,5,,,,0.5058602906704173,0.14693952359254356,1.488668582588069,0.673230192217534,1.1987810595405533,0.14007375113958523
