model_family,feature_set,feature_count,model_name,model_display_name,fold,best_epoch,epochs_trained,best_val_loss,exact_accuracy,balanced_accuracy,log_loss,top_2_accuracy,class_step_mae,expected_xrv_mae
nn,Set A,17,nn_hybrid_ce_sharp_soft_distance,PyTorch_HybridCE_SharpSoftCE_Distance,1,23,35,1.6464794874191284,0.5028169014084507,0.14708351752897858,1.5061653415464455,0.6643192488262911,1.207981220657277,0.1403914812230381
nn,Set A,17,nn_hybrid_ce_sharp_soft_distance,PyTorch_HybridCE_SharpSoftCE_Distance,2,40,52,1.6517243385314941,0.49010880316518296,0.1414078795180172,1.5099419475224913,0.6627101879327398,1.2344213649851632,0.14295529718277702
nn,Set A,17,nn_hybrid_ce_sharp_soft_distance,PyTorch_HybridCE_SharpSoftCE_Distance,3,41,53,1.6318069696426392,0.49876907927129494,0.14547845240758625,1.4885353294479367,0.6696208764155588,1.2545544066962087,0.1445811567260477
nn,Set A,17,nn_hybrid_ce_sharp_soft_distance,PyTorch_HybridCE_SharpSoftCE_Distance,4,41,53,1.616523027420044,0.4960112623181605,0.1428111122820572,1.474962006901748,0.6710464570624121,1.2271234162365088,0.14563219526071275
nn,Set A,17,nn_hybrid_ce_sharp_soft_distance,PyTorch_HybridCE_SharpSoftCE_Distance,5,24,36,1.622088074684143,0.5058602906704173,0.1472225109730221,1.482971472649666,0.679324894514768,1.1748710736052508,0.1364855925371606
nn,Set B,30,nn_hybrid_ce_sharp_soft_distance,PyTorch_HybridCE_SharpSoftCE_Distance,1,30,42,1.6388440132141113,0.5070422535211268,0.14780117723687544,1.497620831270144,0.6708920187793427,1.2014084507042253,0.14168647796361167
nn,Set B,30,nn_hybrid_ce_sharp_soft_distance,PyTorch_HybridCE_SharpSoftCE_Distance,2,31,43,1.6476298570632935,0.4970326409495549,0.14397700605460304,1.505793438825816,0.6632047477744807,1.2171117705242334,0.14454436395782322
nn,Set B,30,nn_hybrid_ce_sharp_soft_distance,PyTorch_HybridCE_SharpSoftCE_Distance,3,64,76,1.6283246278762817,0.4963072378138848,0.1441890723248991,1.4845627167265796,0.671097981290005,1.2333825701624814,0.14578110092733051
nn,Set B,30,nn_hybrid_ce_sharp_soft_distance,PyTorch_HybridCE_SharpSoftCE_Distance,4,31,43,1.6200729608535767,0.4969497888315345,0.14286790330539978,1.4796709458883364,0.671515720319099,1.2233693101830128,0.14364377600332665
nn,Set B,30,nn_hybrid_ce_sharp_soft_distance,PyTorch_HybridCE_SharpSoftCE_Distance,5,56,68,1.6223795413970947,0.5199249882794187,0.15308924572716084,1.481784779323203,0.6704172526957337,1.160337552742616,0.1387287971768
nn,Set C,31,nn_hybrid_ce_sharp_soft_distance,PyTorch_HybridCE_SharpSoftCE_Distance,1,35,47,1.6328532695770264,0.5075117370892018,0.1488016355298097,1.4918862055919155,0.6699530516431925,1.212676056338028,0.14163827255582673
nn,Set C,31,nn_hybrid_ce_sharp_soft_distance,PyTorch_HybridCE_SharpSoftCE_Distance,2,32,44,1.6429883241653442,0.5019782393669634,0.1473503506044182,1.5013041896922572,0.6646884272997032,1.2166172106824926,0.1443641230822588
nn,Set C,31,nn_hybrid_ce_sharp_soft_distance,PyTorch_HybridCE_SharpSoftCE_Distance,3,46,58,1.6263986825942993,0.4933530280649926,0.14087729977100055,1.4845172421564283,0.6701132447070408,1.2530773018217627,0.14476292273492206
nn,Set C,31,nn_hybrid_ce_sharp_soft_distance,PyTorch_HybridCE_SharpSoftCE_Distance,4,29,41,1.6229618787765503,0.5016424213984045,0.14625863669310202,1.4818627162496925,0.670577193805725,1.2214922571562647,0.1444185621556921
nn,Set C,31,nn_hybrid_ce_sharp_soft_distance,PyTorch_HybridCE_SharpSoftCE_Distance,5,33,45,1.6212096214294434,0.5100796999531176,0.14961283076755816,1.4804945947221777,0.6722925457102672,1.1847163619315517,0.13804576218831566
nn,Set D,12,nn_hybrid_ce_sharp_soft_distance,PyTorch_HybridCE_SharpSoftCE_Distance,1,31,43,1.8086614608764648,0.43333333333333335,0.12795430492143842,1.661710885990211,0.6018779342723005,1.3624413145539906,0.14899773808773167
nn,Set D,12,nn_hybrid_ce_sharp_soft_distance,PyTorch_HybridCE_SharpSoftCE_Distance,2,29,41,1.822788953781128,0.4179030662710188,0.12386096503743561,1.6751766182075063,0.6013847675568744,1.3531157270029674,0.15068157842609148
nn,Set D,12,nn_hybrid_ce_sharp_soft_distance,PyTorch_HybridCE_SharpSoftCE_Distance,3,59,71,1.7829254865646362,0.42343673067454457,0.12245763555802926,1.6354409390947184,0.5957656326932546,1.3658296405711472,0.1518014250476119
nn,Set D,12,nn_hybrid_ce_sharp_soft_distance,PyTorch_HybridCE_SharpSoftCE_Distance,4,34,46,1.777420997619629,0.4335992491787893,0.12246687499046506,1.6316261131688825,0.6067573908962928,1.358517128108869,0.14993139196032976
nn,Set D,12,nn_hybrid_ce_sharp_soft_distance,PyTorch_HybridCE_SharpSoftCE_Distance,5,39,51,1.7764487266540527,0.44022503516174405,0.13070609087792112,1.6319161356931513,0.6146272855133614,1.3037974683544304,0.1454154176912862
nn,Set E,18,nn_hybrid_ce_sharp_soft_distance,PyTorch_HybridCE_SharpSoftCE_Distance,1,28,40,1.639294981956482,0.5056338028169014,0.14866223378593035,1.4979959765205006,0.6727699530516432,1.199530516431925,0.14172735783866486
nn,Set E,18,nn_hybrid_ce_sharp_soft_distance,PyTorch_HybridCE_SharpSoftCE_Distance,2,39,51,1.6432359218597412,0.4940652818991098,0.14377569365053722,1.5018042890297147,0.6666666666666666,1.21513353115727,0.143729450704354
nn,Set E,18,nn_hybrid_ce_sharp_soft_distance,PyTorch_HybridCE_SharpSoftCE_Distance,3,55,67,1.6291263103485107,0.4963072378138848,0.1418342236846174,1.4868186265649794,0.6637124569177745,1.226489414081733,0.1442652118811785
