rank,model_family,feature_set,feature_count,model_name,model_display_name,mean_exact_accuracy,std_exact_accuracy,mean_balanced_accuracy,std_balanced_accuracy,mean_log_loss,std_log_loss,mean_top_2_accuracy,std_top_2_accuracy,mean_class_step_mae,std_class_step_mae,mean_expected_xrv_mae,std_expected_xrv_mae,mean_best_epoch,std_best_epoch,mean_epochs_trained,std_epochs_trained,mean_best_val_loss,std_best_val_loss,oof_exact_accuracy,oof_balanced_accuracy,oof_log_loss,oof_top_2_accuracy,oof_class_step_mae,oof_expected_xrv_mae
1,nn,Set E,18,nn_hybrid_ce_sharp_soft_distance,PyTorch_HybridCE_SharpSoftCE_Distance,0.5017325140728512,0.007591312438733782,0.14590181810335687,0.0034138758935576435,1.4863204528433154,0.012325533816743752,0.6684531180209375,0.003261866100586102,1.2109759945865832,0.0224953916875743,0.1425478282136211,0.0018790897520127223,50.2,19.446336415890784,62.2,19.446336415890784,1.627828311920166,0.012399633689342241,0.5018665645639897,0.1460738484222321,1.4861502450633228,0.6685172776873743,1.2107782138412941,0.14251850203357416
2,nn,Set C,31,nn_hybrid_ce_sharp_soft_distance,PyTorch_HybridCE_SharpSoftCE_Distance,0.502913025174536,0.005768729181587304,0.14658015067317773,0.003077376516093749,1.4880129896824943,0.0077230845654317915,0.6695248926331858,0.002556877648048243,1.2177158375860198,0.021818644629017846,0.14264592854340308,0.002559413522175433,35.0,5.830951894845301,47.0,5.830951894845301,1.6292823553085327,0.007925125049026933,0.503015219680291,0.1467811216116973,1.4879059660341467,0.6695702115439839,1.2173829807600267,0.14260695321071334
3,nn,Set B,30,nn_hybrid_ce_sharp_soft_distance,PyTorch_HybridCE_SharpSoftCE_Distance,0.503451381879104,0.00915187203454519,0.14638488092978766,0.003740132912612071,1.489886542406816,0.010111267725375567,0.6694255441717322,0.0031304384238952437,1.2071219308633139,0.02559225390339338,0.14287690320577842,0.0024668514157902767,42.4,14.595889832415152,54.4,14.595889832415152,1.6314502000808715,0.010372438437675886,0.5035895472384416,0.14661034732430317,1.4897692449092876,0.6694744902842922,1.2067579209342394,0.14283102603712294
4,nn,Set A,17,nn_hybrid_ce_sharp_soft_distance,PyTorch_HybridCE_SharpSoftCE_Distance,0.4987132673667013,0.0054637076220952485,0.14480069454193228,0.002324025072836049,1.4925152196136575,0.01345402975128235,0.6694043329503538,0.005862263427903899,1.2197902964360818,0.02695765948872043,0.14200914458594724,0.0032791282185539567,33.8,8.423775875461075,45.8,8.423775875461075,1.6337243795394898,0.013576876421852915,0.4988034842538528,0.14509461358864054,1.4923683581279341,0.6694744902842922,1.2192974059538624,0.14197375056969386
5,nn,Set D,12,nn_hybrid_ce_sharp_soft_distance,PyTorch_HybridCE_SharpSoftCE_Distance,0.42969948292388604,0.007969665076245991,0.1254891742770579,0.003294500667018508,1.6471741384308938,0.01793137812327001,0.6040826021864167,0.00631910903463625,1.348740255718281,0.022866360473876003,0.1493655102426102,0.0021782757420114145,38.4,10.836973747315254,50.4,10.836973747315254,1.7936491250991822,0.01870134804064387,0.42988417727577294,0.12582495767592083,1.6469899704290691,0.6041925911744999,1.348521106537762,0.14932774099541507
