xRV Of Event (Count Ind),count,mean,25%,50%,75%,min,max
-0.3802,423.0,25.153070311228344,18.91001029205,23.906024202079998,30.80297495683,4.60379226944,62.63812684424
-0.375,1163.0,26.308436088332915,20.80632896094,25.48267437334,31.00187149664,8.172774327820001,63.35948690789999
-0.12,426.0,24.81513726509714,19.188305246542498,23.95871146158,29.748429385532496,6.15367160424,53.3704828944
-0.06,1863.0,25.43825571573091,19.71188208,24.61003768608,29.991079233999997,2.07623908648,62.204086017
-0.03,1591.0,26.46154404162788,21.45102633531,26.01853958165,30.902927231724995,3.739435351,65.77175479799999
0.055,3885.0,25.99744829284571,17.461469712499998,24.74495095371,33.08714608168,-7.41804779534,84.0333177733
0.39687,317.0,25.963231332976182,16.876645033710002,24.140454815469997,33.68914293384999,5.4077810193,59.34750159624
0.418,45.0,31.851693125641113,26.301851553599995,33.61132813242,37.2392178852,4.21707669236,57.096233409949996
0.5888,449.0,25.758560402037084,21.0310636302,25.277662741169998,29.9556507952,8.708666803600002,51.897324223000005
0.6,51.0,26.083953298177253,19.98182597509,24.811802921250003,29.90615986938,10.53108931817,52.953229580800006
0.891,103.0,25.770829959162814,20.593080747995,24.569478844819997,31.11616675011,8.07469123174,45.17954415066
1.183,11.0,29.241412435608186,24.5866999557,29.86585046928,33.466921197545005,20.91112056738,37.5352139329
1.459,70.0,28.456080281785002,23.815684776397504,27.921839486185,31.5413220134425,11.83448543079,53.63135884912001
