xRV Of Event (Count Ind),count,mean,25%,50%,75%,min,max
-0.3802,423.0,12.238468932280055,10.77000913182492,12.558798242262133,13.721927329806258,5.682838444480506,17.81079246374876
-0.375,1163.0,11.946478110824678,10.710894413867354,12.042495337365569,13.285832300116086,5.448674807191162,18.230407240808272
-0.12,426.0,12.25336568637768,10.914505469610104,12.410808315600452,13.657944465207677,6.530251329780417,18.689023011890228
-0.06,1863.0,11.969759306019986,10.702720774122938,12.09906668566543,13.326177139226722,5.264367449774348,17.886322125537387
-0.03,1591.0,12.321238490025909,11.199048619250755,12.449444167755146,13.579394157145522,6.527492332208788,17.90203822966147
0.055,3886.0,11.94100398971756,10.59773270985518,12.06780765218102,13.43220051906632,4.499020622795348,19.750074767412713
0.39687,317.0,12.098821195080518,10.794658937612269,12.254902642478525,13.45375088312745,6.3061263135945635,16.54414052948629
0.418,45.0,12.706432141354478,11.930869112559769,12.48392781855652,13.985255269469448,8.529339588596192,15.71358693425925
0.5888,449.0,11.845959176408229,10.601347517163662,11.907657071469444,13.15580026689963,4.581224119011679,17.63037736235387
0.6,51.0,11.907388494904206,10.941639957774186,11.99911861116889,13.213391589344752,6.521401904696063,17.113401003239733
0.891,103.0,11.763719412470346,10.42450337747954,12.024726760246349,12.950588148263117,7.697913546970145,16.527692774651335
1.183,11.0,11.60330385535135,10.81666544491771,11.971767448438657,12.67844713154684,8.447646684232803,13.669860120918235
1.459,70.0,12.147339818232762,11.170530063464184,12.092773641597947,12.915876180655717,7.362781707600913,16.67291659175318
