xRV Of Event (Count Ind),count,mean,25%,50%,75%,min,max
-0.3802,423.0,-0.02866437580349513,-0.9345423167075555,-0.014835312918038118,0.928320569779417,-0.9999999999061435,0.9999999475336708
-0.375,1163.0,-0.0034567449005389614,-0.8962593177927026,-0.0005189212699141347,0.9071123012655702,-0.9999999278026287,0.9999999304180902
-0.12,426.0,-0.10974703014889058,-0.9460309471839295,-0.4935492068760532,0.8757648918707384,-0.9999950700806147,0.9999564341080699
-0.06,1863.0,0.013921381757077054,-0.8727221057158979,-0.025459316246458034,0.9284979169749763,-0.9999999821985052,0.9999986288846519
-0.03,1591.0,-0.09289882383447984,-0.9254409712567668,-0.3581380784898496,0.8825585570804457,-0.9999988281222935,0.9999993904868629
0.055,3886.0,0.028670001427382488,-0.8651065347835426,0.07461432852176107,0.9135131589651664,-0.9999999999988205,0.9999997380528148
0.39687,317.0,0.011955521805786696,-0.8508295338627963,0.04143532316757676,0.8684149528945415,-0.9999949182179658,0.9999919925471791
0.418,45.0,-0.09353233902496907,-0.8820284119956167,-0.5200384994527585,0.9605982273824553,-0.9924658293425588,0.9993852641602836
0.5888,449.0,0.12390139184433754,-0.7361786200347838,0.30637688842204225,0.914877630957511,-0.999999067404395,0.9999883669626339
0.6,51.0,0.23250901049460673,-0.49029983428392054,0.51141354180956,0.9634291341550697,-0.9989688676527525,0.9999790143330672
0.891,103.0,0.07024761168739678,-0.7795036693984347,0.31906107187031146,0.8640314163151526,-0.9999103733967777,0.9999652072328702
1.183,11.0,0.26914935859030303,-0.1586880615782533,0.3109779802676296,0.9010559780977406,-0.939719587512438,0.9997121627889154
1.459,70.0,0.1262231140006468,-0.7480264271352247,0.2585483923036527,0.9423275529212646,-0.9962493853430485,0.9998319343128824
