model_family,feature_set,feature_count,model_name,model_display_name,fold,best_epoch,epochs_trained,best_val_loss,exact_accuracy,balanced_accuracy,log_loss,top_2_accuracy,class_step_mae,expected_xrv_mae
nn,Set A,17,nn_soft_label_ce,PyTorch_SoftLabelCE,1,38,50,2.0617213249206543,0.38215962441314555,0.11429078827911279,1.9552688446317037,0.5765258215962441,1.2802816901408451,0.15192174757389612
nn,Set A,17,nn_soft_label_ce,PyTorch_SoftLabelCE,2,27,39,2.0503382682800293,0.410484668644906,0.12208167208167207,1.944134557775155,0.5845697329376854,1.2561819980217606,0.15117026060329025
nn,Set A,17,nn_soft_label_ce,PyTorch_SoftLabelCE,3,25,37,2.053821086883545,0.3540128015755785,0.10507132565707003,1.9532600657527512,0.5445593303791236,1.325947808961103,0.1530978878442292
nn,Set A,17,nn_soft_label_ce,PyTorch_SoftLabelCE,4,34,46,2.051888942718506,0.4082590333176912,0.12324285798130695,1.9433945201635412,0.5842327545753168,1.2604411074612858,0.15301732738435866
nn,Set A,17,nn_soft_label_ce,PyTorch_SoftLabelCE,5,45,57,2.0461177825927734,0.3769338959212377,0.1170049920655324,1.9451998101694143,0.5672761368963901,1.2827004219409284,0.14572623580313107
nn,Set B,30,nn_soft_label_ce,PyTorch_SoftLabelCE,1,25,37,2.059922456741333,0.36901408450704226,0.11314427001535812,1.953650847254469,0.5605633802816902,1.3014084507042254,0.15064077998593417
nn,Set B,30,nn_soft_label_ce,PyTorch_SoftLabelCE,2,31,43,2.050764322280884,0.42136498516320475,0.1253524606465783,1.9459546366027496,0.56973293768546,1.2398615232443126,0.15405549246167577
nn,Set B,30,nn_soft_label_ce,PyTorch_SoftLabelCE,3,18,30,2.054755687713623,0.3579517479074348,0.11086237105853478,1.9563991122168534,0.5420974889217134,1.3136386016740522,0.15417809197732513
nn,Set B,30,nn_soft_label_ce,PyTorch_SoftLabelCE,4,42,54,2.0514843463897705,0.4120131393711872,0.12129088100562005,1.9414778202449972,0.5753167526982638,1.279211637728766,0.1519843606934532
nn,Set B,30,nn_soft_label_ce,PyTorch_SoftLabelCE,5,34,46,2.047598123550415,0.38396624472573837,0.12042237279518732,1.9484211098411288,0.5644631973745898,1.2756680731364276,0.14561685719355527
nn,Set C,31,nn_soft_label_ce,PyTorch_SoftLabelCE,1,23,35,2.060117244720459,0.3835680751173709,0.11924757332978328,1.9564551802994397,0.5615023474178403,1.2863849765258215,0.1507297213512
nn,Set C,31,nn_soft_label_ce,PyTorch_SoftLabelCE,2,18,30,2.050816535949707,0.4030662710187933,0.11826439767616238,1.9457977171971192,0.5914935707220573,1.2700296735905046,0.15186947254271257
nn,Set C,31,nn_soft_label_ce,PyTorch_SoftLabelCE,3,19,31,2.056765556335449,0.3934022648941408,0.11809886651261857,1.9510966776279293,0.5760709010339734,1.2885278188084688,0.15393076536503006
nn,Set C,31,nn_soft_label_ce,PyTorch_SoftLabelCE,4,29,41,2.053927183151245,0.3594556546222431,0.11384460375806153,1.957781293298765,0.5565462224307837,1.312060065696856,0.15266365910533297
nn,Set C,31,nn_soft_label_ce,PyTorch_SoftLabelCE,5,19,31,2.0446746349334717,0.3652133145804032,0.11304662073693153,1.9476734632484942,0.5743084857008908,1.2817627754336616,0.14724485807261792
nn,Set D,12,nn_soft_label_ce,PyTorch_SoftLabelCE,1,12,24,2.0819103717803955,0.3089201877934272,0.09758944363421974,2.00634631888851,0.5187793427230047,1.384507042253521,0.15339821999542594
nn,Set D,12,nn_soft_label_ce,PyTorch_SoftLabelCE,2,26,38,2.070744276046753,0.3219584569732938,0.10618376500729441,1.9902911202315405,0.5301681503461919,1.3763600395647873,0.15487751385606854
nn,Set D,12,nn_soft_label_ce,PyTorch_SoftLabelCE,3,52,64,2.0698702335357666,0.33874938453963566,0.11259541264462523,1.9843743032320302,0.5297882816346627,1.3574593796159526,0.15578327625471144
nn,Set D,12,nn_soft_label_ce,PyTorch_SoftLabelCE,4,35,47,2.073958396911621,0.344439230408259,0.11002440968396449,1.9902164212336113,0.5509150633505396,1.341623650868137,0.15338489919425555
nn,Set D,12,nn_soft_label_ce,PyTorch_SoftLabelCE,5,35,47,2.058570623397827,0.3534927332395687,0.11355136517690016,1.975352200887493,0.5588373183309893,1.316924519456165,0.147755691457487
nn,Set E,18,nn_soft_label_ce,PyTorch_SoftLabelCE,1,22,34,2.0614519119262695,0.4107981220657277,0.1220541468934584,1.9506742608218957,0.5985915492957746,1.252582159624413,0.1515139482381967
nn,Set E,18,nn_soft_label_ce,PyTorch_SoftLabelCE,2,32,44,2.051236152648926,0.4065281899109792,0.11979495508907276,1.948701200295284,0.5806132542037586,1.271513353115727,0.1528969108703765
nn,Set E,18,nn_soft_label_ce,PyTorch_SoftLabelCE,3,20,32,2.0543172359466553,0.3722304283604136,0.11203022057032312,1.9527033255551425,0.5411127523387493,1.294928606597735,0.15480334441177787
nn,Set E,18,nn_soft_label_ce,PyTorch_SoftLabelCE,4,28,40,2.0530128479003906,0.40450492726419524,0.12218924734861505,1.9449750301997317,0.5851712810886908,1.2820272172688878,0.15390291094580225
nn,Set E,18,nn_soft_label_ce,PyTorch_SoftLabelCE,5,25,37,2.0438995361328125,0.4120956399437412,0.12248821672849942,1.9396167954836845,0.5925925925925926,1.2339428035630566,0.14643830740492467
