rank,model_family,feature_set,feature_count,model_name,model_display_name,mean_exact_accuracy,std_exact_accuracy,mean_balanced_accuracy,std_balanced_accuracy,mean_log_loss,std_log_loss,mean_top_2_accuracy,std_top_2_accuracy,mean_class_step_mae,std_class_step_mae,mean_expected_xrv_mae,std_expected_xrv_mae,mean_best_epoch,std_best_epoch,mean_epochs_trained,std_epochs_trained,mean_best_val_loss,std_best_val_loss,oof_exact_accuracy,oof_balanced_accuracy,oof_log_loss,oof_top_2_accuracy,oof_class_step_mae,oof_expected_xrv_mae
1,nn,Set E,18,nn_soft_label_ce,PyTorch_SoftLabelCE,0.4012314615090114,0.014760638202799515,0.11971135732599376,0.003958444151638816,1.947334122471148,0.004625499322517386,0.5796162859039132,0.020212962031165446,1.266998828033964,0.02157242235903837,0.15191108437421558,0.002946638761803844,25.4,4.2708313008125245,37.4,4.2708313008125245,2.0527835369110106,0.005636761650957496,0.401454963147315,0.11993309676547338,1.9472666670692569,0.5799751124724801,1.2666794295012922,0.15187210385256916
2,nn,Set A,17,nn_soft_label_ce,PyTorch_SoftLabelCE,0.3863700047745118,0.02104472682683951,0.11633832721293884,0.0065152242813845416,1.948251559698513,0.004983595766080809,0.571432755276952,0.014844648400890482,1.2811106053051844,0.02474773949748696,0.15098669184178107,0.0027262081253809235,33.8,7.30479294709987,45.8,7.30479294709987,2.0527774810791017,0.00514144530581349,0.38642672537570594,0.11630726702671172,1.948245316932191,0.5715516416196037,1.280941897195367,0.1509634713418233
3,nn,Set B,30,nn_soft_label_ce,PyTorch_SoftLabelCE,0.3888620403349215,0.02435475786060085,0.11821447110425572,0.005386099453751031,1.9491807052320396,0.005336787613939354,0.5624347513923434,0.01131751163949694,1.2819576572975566,0.0253029626540305,0.15129511646238872,0.003132955972743007,30.0,8.12403840463596,42.0,8.12403840463596,2.052904987335205,0.004181708731070865,0.3888197568680004,0.11809481185297878,1.9491446959900856,0.5625538432085766,1.2820905523116684,0.15123769512444699
4,nn,Set C,31,nn_soft_label_ce,PyTorch_SoftLabelCE,0.38094111604659026,0.01649662037316294,0.11650041240271147,0.0025375416912149025,1.9517608663343495,0.00471146012810355,0.5719843054611091,0.012254952959985249,1.2877530620110627,0.013735387614163555,0.15128769528737868,0.002274793542149641,21.6,4.079215610874228,33.6,4.079215610874228,2.0532602310180663,0.005280811932996068,0.3805877285345075,0.11620483395726176,1.951828209399963,0.5717430841389872,1.2879295491528668,0.15125560488543652
5,nn,Set D,12,nn_soft_label_ce,PyTorch_SoftLabelCE,0.3335119985908369,0.016026888943742542,0.10798887922940081,0.0057915711565400445,1.989316072894637,0.01011139388890258,0.5376976312770776,0.014823895682468943,1.3553749263517125,0.024334878124827868,0.15303992015158968,0.0027954683164302108,32.0,13.069047402163633,44.0,13.069047402163633,2.071010780334473,0.007531519279902241,0.33358859002584473,0.10781457492166924,1.9893488994301525,0.537857758208098,1.3551258734564946,0.15299344172894852
