rank,model_family,feature_set,feature_count,model_name,model_display_name,mean_exact_accuracy,std_exact_accuracy,mean_balanced_accuracy,std_balanced_accuracy,mean_log_loss,std_log_loss,mean_top_2_accuracy,std_top_2_accuracy,mean_class_step_mae,std_class_step_mae,mean_expected_xrv_mae,std_expected_xrv_mae,mean_best_epoch,std_best_epoch,mean_epochs_trained,std_epochs_trained,mean_best_val_loss,std_best_val_loss,oof_exact_accuracy,oof_balanced_accuracy,oof_log_loss,oof_top_2_accuracy,oof_class_step_mae,oof_expected_xrv_mae
1,nn,Set E,18,nn_hard_ce_distance,PyTorch_HardCE_plus_ExpectedDistance,0.5024567204062853,0.006758119411447925,0.14614645692747547,0.003601999085606951,1.4864319952627179,0.011142980240039088,0.6745214179673666,0.0035509047942746557,1.2195910985724054,0.02448800458791097,0.1432920902631639,0.0025175828563303473,47.8,19.135307679783985,59.8,19.135307679783985,1.529074215888977,0.011325427295581267,0.5025366133818321,0.1463613749761958,1.4862911831229235,0.6745477170479564,1.219488848473246,0.14325443954663528
2,nn,Set C,31,nn_hard_ce_distance,PyTorch_HardCE_plus_ExpectedDistance,0.5037586396267315,0.005538772756466342,0.14779523000732614,0.0012624803681243759,1.4871763238348361,0.008262472895599953,0.6706436977046881,0.004611694210196712,1.2142626220220412,0.023335818558232302,0.14250830246586602,0.0020331747978394364,31.2,1.1661903789690602,43.2,1.16619037896906,1.5302456855773925,0.0083056752261456,0.503876711017517,0.14799521301879812,1.487027156966505,0.6707188666602852,1.2139370154111229,0.14247568655115103
3,nn,Set B,30,nn_hard_ce_distance,PyTorch_HardCE_plus_ExpectedDistance,0.5009552851605047,0.003779483448511293,0.14543211141155812,0.0018067143540519532,1.4900796143550095,0.011454307681008226,0.6685630828950153,0.0031441477683616516,1.2128629157531243,0.01647467699131026,0.14264984079882578,0.0021205984411573073,35.4,6.019966777316965,47.4,6.019966777316965,1.5328705549240111,0.01157219598209946,0.5010050732267637,0.14553897812495545,1.4899335465186196,0.6686129989470662,1.2126926390351298,0.14260793095120824
4,nn,Set A,17,nn_hard_ce_distance,PyTorch_HardCE_plus_ExpectedDistance,0.49989053053896504,0.003406278254104969,0.14563026394517492,0.001235829887619331,1.490929228157774,0.01363256325146383,0.6725736820955741,0.004582221331883935,1.2194890965158705,0.026853740105588077,0.1418881505713999,0.002928625046169406,37.2,11.720068259186888,49.2,11.720068259186888,1.5336260557174684,0.013675300716851298,0.4999521393701541,0.14589838490314724,1.4907220440275137,0.6726332918541208,1.2192016846941707,0.14185492628104363
5,nn,Set D,12,nn_hard_ce_distance,PyTorch_HardCE_plus_ExpectedDistance,0.4291138904013926,0.00562372100254723,0.1254515696452479,0.002632602654268489,1.6460811272641067,0.019643281396149084,0.6063207812811964,0.004264243295388147,1.354480136139561,0.023553657469322985,0.14915932558295447,0.0021417736021085215,41.8,11.582745788456206,53.8,11.582745788456206,1.691170048713684,0.01982869428148053,0.4292141284579305,0.12566121101747355,1.6458844073781111,0.6063941801474108,1.3543601033789605,0.14912054252564613
