model_family,feature_set,feature_count,model_name,model_display_name,fold,best_epoch,epochs_trained,best_val_loss,exact_accuracy,balanced_accuracy,log_loss,top_2_accuracy,class_step_mae,expected_xrv_mae
tree,Set A,17,catboost,CatBoost,1,,,,0.5009389671361503,0.14576581092912108,1.5021714045364982,0.6685446009389672,1.2098591549295774,0.14329760258776467
tree,Set A,17,catboost,CatBoost,2,,,,0.5009891196834817,0.14515644634543257,1.506454696708514,0.66864490603363,1.2012858555885262,0.14500716758311052
tree,Set A,17,catboost,CatBoost,3,,,,0.5022156573116692,0.14331182030000927,1.4973687484328941,0.6637124569177745,1.2319054652880355,0.14578943950271414
tree,Set A,17,catboost,CatBoost,4,,,,0.4997653683716565,0.14480128112027896,1.4839474283790386,0.662130455185359,1.2252463632097608,0.14474189373985677
tree,Set A,17,catboost,CatBoost,5,,,,0.5114861697140178,0.1501113090615054,1.4779992451601651,0.673230192217534,1.180028129395218,0.1386225072685042
tree,Set B,30,catboost,CatBoost,1,,,,0.5112676056338028,0.15035819464463915,1.5035006849950363,0.6704225352112676,1.195305164319249,0.14297639399387432
tree,Set B,30,catboost,CatBoost,2,,,,0.49950544015825915,0.1439702960353774,1.5027985465362712,0.6612265084075173,1.1948565776458953,0.14472245052986293
tree,Set B,30,catboost,CatBoost,3,,,,0.49236829148202854,0.1400786614900788,1.504086836110949,0.6651895617922206,1.243722304283604,0.14595372197520218
tree,Set B,30,catboost,CatBoost,4,,,,0.4922571562646645,0.14026736733399564,1.4890969096646898,0.670577193805725,1.2412013139371187,0.14481742686765
tree,Set B,30,catboost,CatBoost,5,,,,0.5142991092358181,0.15129302807933065,1.477675245045075,0.6671354899203,1.1720581340834506,0.13912401318259746
tree,Set C,31,catboost,CatBoost,1,,,,0.5098591549295775,0.14969896958830714,1.502845332496671,0.6671361502347418,1.196244131455399,0.1428039328408264
tree,Set C,31,catboost,CatBoost,2,,,,0.49653808110781406,0.14237058855331697,1.5094411833725059,0.6661721068249258,1.205242334322453,0.1449928938606803
tree,Set C,31,catboost,CatBoost,3,,,,0.49532250123092075,0.14100180161991188,1.5010792403115238,0.6637124569177745,1.2378138847858198,0.14581585699518454
tree,Set C,31,catboost,CatBoost,4,,,,0.4922571562646645,0.140675724203715,1.4869190592432253,0.670577193805725,1.2416705771938057,0.14490001259073645
tree,Set C,31,catboost,CatBoost,5,,,,0.5128926394749179,0.15002528405211607,1.4786063080453278,0.6779184247538678,1.1790904828879512,0.13943947470992707
tree,Set D,12,catboost,CatBoost,1,,,,0.42347417840375584,0.12545648834827938,1.671803682771306,0.5990610328638498,1.3779342723004695,0.1496213057972829
tree,Set D,12,catboost,CatBoost,2,,,,0.41938674579624136,0.12277888704672185,1.678955203004223,0.602868447082097,1.3526211671612265,0.15236096028142201
tree,Set D,12,catboost,CatBoost,3,,,,0.4224519940915805,0.12094176520554473,1.6497900104166017,0.6011816838995568,1.3549975381585426,0.1528801613363678
tree,Set D,12,catboost,CatBoost,4,,,,0.4335992491787893,0.12259033308736485,1.6338135710237136,0.5992491787893008,1.3655560769591741,0.151241590385934
tree,Set D,12,catboost,CatBoost,5,,,,0.44163150492264414,0.12992707515703786,1.635812421009514,0.6197843413033286,1.297233942803563,0.14607669464752268
tree,Set E,18,catboost,CatBoost,1,,,,0.5023474178403756,0.14630458992169276,1.501362921763973,0.6619718309859155,1.2070422535211267,0.14273798851562883
tree,Set E,18,catboost,CatBoost,2,,,,0.49752720079129575,0.14400572667155898,1.5010941957367434,0.6607319485657764,1.2121661721068249,0.1450103891692407
tree,Set E,18,catboost,CatBoost,3,,,,0.49679960610536683,0.14148563706044023,1.5006157954725814,0.6597735105859183,1.2269817823732152,0.14596136273317897
tree,Set E,18,catboost,CatBoost,4,,,,0.5063350539652746,0.14810639829041286,1.4833704527289058,0.672454246832473,1.2111684655091506,0.1449034808284169
tree,Set E,18,catboost,CatBoost,5,,,,0.510548523206751,0.14989062991647029,1.4820004638869404,0.6736990154711674,1.1772151898734178,0.139082698329709
