rank,model_family,feature_set,feature_count,model_name,model_display_name,mean_exact_accuracy,std_exact_accuracy,mean_balanced_accuracy,std_balanced_accuracy,mean_log_loss,std_log_loss,mean_top_2_accuracy,std_top_2_accuracy,mean_class_step_mae,std_class_step_mae,mean_expected_xrv_mae,std_expected_xrv_mae,mean_best_epoch,std_best_epoch,mean_epochs_trained,std_epochs_trained,mean_best_val_loss,std_best_val_loss,oof_exact_accuracy,oof_balanced_accuracy,oof_log_loss,oof_top_2_accuracy,oof_class_step_mae,oof_expected_xrv_mae
1,tree,Set A,17,catboost,CatBoost,0.503079056443395,0.004274420619123707,0.14582933355126945,0.002288531903063627,1.493588304643422,0.010857906561674008,0.667252522258653,0.003952426387708249,1.2096649936822235,0.01836305547642986,0.14349172213639008,0.002564603082911929,,,,,,,0.5031109409399828,0.1460963534045444,1.4934140687543722,0.6672729013113813,1.209533837465301,0.14345300292508423
2,tree,Set E,18,catboost,CatBoost,0.5027115603818129,0.005225113962200455,0.145958596372115,0.0029669754795675803,1.4936887659178288,0.008997786268145824,0.6657261104882501,0.0060548285858454684,1.206914772676747,0.016312188368838226,0.14353918391523485,0.002465557909892983,,,,,,,0.5028237771609074,0.14620450726773726,1.4935422218797656,0.6658370824160046,1.2066621996745477,0.143499872052475
3,tree,Set B,30,catboost,CatBoost,0.5019395205549146,0.009284976631012565,0.14519350951668433,0.004812543974389658,1.4954316444704046,0.010485338229941354,0.666910257827406,0.0034956843020940444,1.2094286988538636,0.028262804171239716,0.14351880130983738,0.0023946777157117438,,,,,,,0.5020580070833732,0.14551088303611914,1.49526776074028,0.666985737532306,1.2092466736862257,0.14348214609777096
4,tree,Set C,31,catboost,CatBoost,0.501373906601579,0.00834026975663196,0.14475447360347343,0.004210252603921864,1.495778224693851,0.011296731854793325,0.6691032665074069,0.004927505416271682,1.2120122821290857,0.024181186075327914,0.14359043419947098,0.0023014536430202006,,,,,,,0.5014836795252225,0.14498631706056977,1.4955809647150204,0.6691873265052168,1.2118311476979038,0.14355378005950123
5,tree,Set D,12,catboost,CatBoost,0.4281087344786022,0.00827722152110855,0.12433890976898973,0.00314669212906266,1.6540349776450718,0.018415923092080684,0.6044289367876268,0.007802724046601938,1.3496685994765951,0.027705121060095712,0.15043614248970588,0.0024493118336266846,,,,,,,0.4282569158610127,0.12462835086740608,1.6538104134965412,0.6044797549535752,1.3495740403943717,0.15039190863472787
